Hungary: Fruzsina; Poland: Mieczysław, Mieszko
Czech Republic: Zbyšek; Hungary: Bernát, Felícia; Poland: Bronimir, Teodor, Wiktoria
Czech Republic: Monika; Hungary: Konstantin; Poland: Donata, Jan, Tymoteusz, Wiktor
Czech Republic: Emil; Hungary: Júlia, Rita; Poland: Emil, Helena, Jan, Julia, Ryta, Wiesław, Wiesława, Wisława
Czech Republic: Vladimír; Hungary: Dezső; Poland: Budziwoj, Emilia, Iwona, Jan, Michał
Czech Republic: Jana; Hungary: Eszter, Eliza; Poland: Cieszysława, Jan, Joanna, Maria, Zula, Zuzanna
Czech Republic: Viola; Hungary: Orbán; Poland: Grzegorz, Imisława, Maria, Magdalena
Czech Republic: Filip; Hungary: Fülöp, Evelin; Poland: Filip, Marianna, Paulina, Ewelina, Więcemił
Czech Republic: Valdemar; Hungary: Hella; Poland: Jan, Juliusz, Lucjan, Magdalena, Radowit
Czech Republic: Vilém; Hungary: Emil, Csanád; Poland: Augustyn, Jaromir, Wiktor, Wrocimir
Czech Republic: Maxmilián; Hungary: Magdolna; Poland: Bogusława, Maksymilian, Maria, Magdalena, Teodor, Urszula
Czech Republic: Ferdinand; Hungary: Janka, Zsanett; Poland: Feliks, Joanna
Czech Republic: Kamila; Hungary: Angéla, Petronella; Poland: Aniela, Bożysława, Teodor
Czech Republic: Laura; Hungary: Tünde; Poland: Bernard, Jakub, Konrad, Magdalena, Nikodem, Symeon Świętopełk
Czech Republic: Jarmil; Hungary: Kármen, Anita; Poland: Eugeniusz, Maria, Marianna, Mikołaj, Piotr, Racisław
Czech Republic: Tamara; Hungary: Klotild, Cecília; Poland: Konstantyn, Leszek, Paula, Tamara
Czech Republic: Dalibor; Hungary: Bulcsú; Poland: Franciszek, Gościmił Karol
Czech Republic: Dobroslav; Hungary: Fatime, Fatima; Poland: Dobrociech, Dobromir, Dobrymir
Czech Republic: Norbert; Hungary: Norbert, Cintia; Poland: Dominika, Norbert, Paulina, Więcerad
Czech Republic: Iveta; Hungary: Róbert; Poland: Antoni, Ciechomir, Jarosław, Paweł Robert, Wiesław, Wisław
Czech Republic: Medard; Hungary: Medárd; Poland: Maksym, Seweryn, Wyszesław
Czech Republic: Stanislava; Hungary: Félix; Poland: Felicjan
Czech Republic: Gita; Hungary: Margit, Gréta; Poland: Bogumił Edgar, Małgorzata
Czech Republic: Bruno; Hungary: Barnabás; Poland: Feliks, Radomił
Czech Republic: Antonie; Hungary: Villő; Poland: Antonina, Jan, Leon, Wyszemir
Czech Republic: Antonín; Hungary: Antal, Anett; Poland: Antoni, Chociemir, Lucjan, Maria, Magdalena, Tobiasz
Czech Republic: Roland; Hungary: Vazul; Poland: Eliza, Justyn, Justyna, Ninogniew
Czech Republic: Vít; Hungary: Jolán, Vid; Poland: Angelina, Jolanta, Witold, Witolda, Witosław
Czech Republic: Zbyněk; Hungary: Jusztin; Poland: Alina, Aneta, Budzimir, Jan, Justyna
Czech Republic: Adolf; Hungary: Laura, Alida; Poland: Agnieszka, Drogomysł Franciszek, Laura, Marcjan, Radomił
Czech Republic: Milan; Hungary: Arnold, Levente; Poland: Elżbieta, Marek, Marina, Paula
Czech Republic: Leoš; Hungary: Gyárfás; Poland: Julianna
Czech Republic: Květa; Hungary: Rafael; Poland: Bogna, Bogumiła, Bożena, Franciszek, Michał Rafaela, Rafał
Czech Republic: Alois; Hungary: Alajos, Leila; Poland: Alicja, Domamir, Marta, Teodor
Czech Republic: Pavla; Hungary: Paulina; Poland: Broniwoj, Paulina
Czech Republic: Zdeňka; Hungary: Zoltán; Poland: Józef, Piotr, Wanda, Zenon
Czech Republic: Jan; Hungary: Iván; Poland: Dan, Danisz, Danuta, Emilia, Jan
Czech Republic: Ivan; Hungary: Vilmos; Poland: Lucja, Tolisława
Czech Republic: Adriana; Hungary: János, Pál, Vu, Cuda; Poland: Jan, Paweł
Czech Republic: Ladislav; Hungary: László; Poland: Maria, Magdalena, Władysław, Władysława
Czech Republic: Lubomír; Hungary: Levente, Irén; Poland: Ireneusz, Józef, Leon, Paweł
Czech Republic: Petr, Pavel; Hungary: Péter, Pál; Poland: Dalebor, Paweł Piotr
Czech Republic: Šárka; Hungary: Pál; Poland: Ciechosława, Emilia, Lucyna
Czech Republic: Jaroslava; Hungary: Tihamér, Annamária; Poland: Halina, Marian
Czech Republic: Patricie; Hungary: Ottó; Poland: Maria, Piotr, Jagoda
Czech Republic: Radomír; Hungary: Kornél, Soma; Poland: Jacek, Leon, Miłosław
Czech Republic: Prokop; Hungary: Ulrik; Poland: Elżbieta, Józef, Julian, Teodor, Wielisław
Hungary: Emese, Sarolta; Poland: Antoni, Bartłomiej, Jakub, Karolina, Michał
Hungary: Csaba; Poland: Chociebor, Dominik, Dominika, Lucja, Niegosław
Czech Republic: Bohuslava; Hungary: Apollónia; Poland: Antoni, Kira, Piotr, Benedykt, Cyryl
Czech Republic: Nora; Hungary: Ellák; Poland: Adrian, Adrianna, Chwalimir, Edgar, Elżbieta, Eugeniusz
Czech Republic: Drahoslava; Hungary: Lukrécia; Poland: Lucja, Mikołaj, Weronika, Zenon
Czech Republic: Libuše, Amálie; Hungary: Amália; Poland: Aleksander, Amelia, Aniela, Filip
Czech Republic: Olga; Hungary: Nóra, Lili; Poland: Cyprian, Kalina, Olga
Czech Republic: Bořek; Hungary: Izabella, Dalma; Poland: Andrzej, Euzebiusz, Feliks, Henryk, Paweł Piotr, Tolimir, Weronika
Czech Republic: Markéta; Hungary: Jenő; Poland: Ernest, Eugeniusz, Jakub, Justyna, Małgorzata, Radomiła, Sara
Czech Republic: Karolína; Hungary: Örs, Stella; Poland: Damian, Dobrogost, Franciszek, Izabela, Marcelina
Czech Republic: Jindřich; Hungary: Henrik, Roland, Örkény; Poland: Daniel, Dawid, Henryk, Iga, Ignacy, Lubomysł Niecisław, Włodzimierz Żegota
Czech Republic: Luboš; Hungary: Valter; Poland: Andrzej, Maria, Magdalena, Marika, Stefan
Czech Republic: Martina; Hungary: Endre, Elek, Dzsesszika; Poland: Aleksander, Andrzej, Bogdan, Marcelina, Maria, Magdalena, Aneta
Czech Republic: Drahomíra; Hungary: Frigyes; Poland: Erwin, Kamil, Karolina, Robert, Szymon, Unisław
Czech Republic: Čeněk; Hungary: Emília; Poland: Lutobor, Wincenty
Czech Republic: Ilja; Hungary: Illés; Poland: Czechoń Czesław, Małgorzata, Paweł
Czech Republic: Vítězslav; Hungary: Dániel, Daniella; Poland: Andrzej, Daniel, Paulina, Stojsław, Wiktor
Czech Republic: Magdaléna; Hungary: Magdolna; Poland: Bolesława, Bolisława, Maria, Magdalena, Milenia, Więcemiła
Czech Republic: Libor; Hungary: Lenke; Poland: Bogna Żelisław
Czech Republic: Kristýna; Hungary: Kinga, Kincső; Poland: Antoni, Kinga, Krystyna, Olga, Wojciecha
Czech Republic: Jakub; Hungary: Kristóf, Jakab; Poland: Jakub, Krzysztof, Sławosz, Walentyna
Czech Republic: Anna; Hungary: Anna, Anikó; Poland: Anna, Baldev, Grażyna, Mirosława
Czech Republic: Věroslav; Hungary: Olga, Liliána; Poland: Julia, Marta, Natalia, Wszebor
Czech Republic: Viktor; Hungary: Szabolcs; Poland: Marcela Świętomir, Wiktor
Czech Republic: Marta; Hungary: Márta, Flóra; Poland: Konstantyn, Maria, Marta
Czech Republic: Bořivoj; Hungary: Judit, Xénia; Poland: Julia, Julita, Ludmiła, Maryna
Czech Republic: Ignác; Hungary: Oszkár; Poland: Emilian, Helena, Iga, Ignacy, Ludomir
